Dataset,Model,Mean_Accuracy,Std_Accuracy,Mean_Sensitivity,Std_Sensitivity,Mean_Specificity,Std_Specificity,Mean_AUC,Std_AUC
Left,RandomForest,0.64,0.06999999998363954,0.75,0.10999999997813042,0.49000000000000005,0.10999999997813042,0.6799999999999999,0.05000000001147294
Left,SVM_Linear,0.64,0.07999999999213704,0.8300000000000001,0.06999999998363955,0.4,0.08999999997822035,0.62,0.10999999997813042
Left,SVM_RBF,0.67,0.06999999998363955,0.8877895717400002,0.08660268293914984,0.4499999999999999,0.23999999998512522,0.65,0.05000000001147298
Right,RandomForest,0.6900000000200001,0.04000000000430664,0.8300000000000001,0.06999999998363955,0.52,0.13000000003473827,0.76,0.07999999999213704
Right,SVM_Linear,0.67,0.05000000001147298,0.7800000000199999,0.09999999997096409,0.5399999999999999,0.1099999999781304,0.75,0.06999999998363954
Right,SVM_RBF,0.72,0.05000000001147297,0.76,0.050000000011472964,0.65,0.13000000003473827,0.7799999999999999,0.050000000011472985
Combined,RandomForest,0.73,0.02999999998066411,0.82,0.07999999999213707,0.62,0.05999999999755627,0.85,0.06999999998363955
Combined,SVM_Linear,0.75000000002,0.040000000004306625,0.75,0.06999999998363954,0.75,0.10999999997813042,0.82,0.059999999997556244
Combined,SVM_RBF,0.7799999999999999,0.050000000011472985,0.78,0.08999999997822036,0.72,0.10999999997813042,0.85000000002,0.040000000004306625
